start_article_title,starter_article_url,selection_strat,hops_to_phil
/wiki/Pan-Arabism,/wiki/Arab_nationalism,EMBEDDING_BERT,5

/wiki/Peter_Wollen,/wiki/Political_journalism,EMBEDDING_BERT,4

/wiki/Ciboure,/wiki/Saint-Jean-de-Luz,EMBEDDING_BERT,12

/wiki/The_arts,/wiki/Storytelling,EMBEDDING_BERT,6

/wiki/Lisa_Edelstein,/wiki/Lisa_Cuddy,EMBEDDING_BERT,7

/wiki/Her_Way,"/wiki/Little,_Brown_and_Company",EMBEDDING_BERT,9

/wiki/Gabriel_Marcel,/wiki/French_philosopher,EMBEDDING_BERT,3

/wiki/Cleric,/wiki/Christianity,EMBEDDING_BERT,7

/wiki/The_Commonwealth,/wiki/Commonwealth_Foundation,EMBEDDING_BERT,6

/wiki/University_of_Memphis,/wiki/Cecil_C._Humphreys_School_of_Law,EMBEDDING_BERT,8

/wiki/Painting,/wiki/Art,EMBEDDING_BERT,4

/wiki/Duchy_of_Prussia,/wiki/Protestant_Reformation,EMBEDDING_BERT,10

/wiki/Abraham,/wiki/Prophets_and_messengers_in_Islam,EMBEDDING_BERT,10

/wiki/Ajman_(tribe),/wiki/Second_Saudi_State,EMBEDDING_BERT,14

/wiki/Porto_Football_Association,/wiki/District_of_Porto,EMBEDDING_BERT,15

/wiki/Rita_Avila,/wiki/Peter_Bryan_Wells,EMBEDDING_BERT,3

/wiki/London,/wiki/Government_of_the_United_Kingdom,EMBEDDING_BERT,7

/wiki/Anantapur_district,/wiki/Sri_Sathya_Sai_district,EMBEDDING_BERT,9

/wiki/Drama_film,/wiki/Police_procedural,EMBEDDING_BERT,7

/wiki/Estonian_national_awakening,/wiki/The_Bible,EMBEDDING_BERT,8

/wiki/Thrissur_Municipal_Corporation,/wiki/Ayyanthole,EMBEDDING_BERT,13

/wiki/Pierre_Cartellier,/wiki/Europe,EMBEDDING_BERT,11

/wiki/Painting,/wiki/Art,EMBEDDING_BERT,4

/wiki/Commonwealth_of_England,/wiki/Stuart_Restoration,EMBEDDING_BERT,7

/wiki/Michigan_Senate,/wiki/Michigan_Legislature,EMBEDDING_BERT,6

/wiki/Working_Group_Small_Body_Nomenclature,/wiki/Astronomer,EMBEDDING_BERT,6

/wiki/Painting,/wiki/Art,EMBEDDING_BERT,4

/wiki/What_Ever_Happened_to_Baby_Jane%3F_(novel),/wiki/Psychological_horror,EMBEDDING_BERT,10

/wiki/Latin,/wiki/Academia,EMBEDDING_BERT,3

/wiki/German_philosophy,/wiki/Philosophy,EMBEDDING_BERT,2

/wiki/Indian_Army_operations_in_Jammu_and_Kashmir,/wiki/Indian_Armed_Forces,EMBEDDING_BERT,8

/wiki/London,/wiki/Government_of_the_United_Kingdom,EMBEDDING_BERT,7

/wiki/Physics,/wiki/Scientist,EMBEDDING_BERT,4

/wiki/Laamu_Atoll,/wiki/Fonadhoo_(Laamu_Atoll),EMBEDDING_BERT,17

/wiki/Polynesian_culture,/wiki/Tonga,EMBEDDING_BERT,11

/wiki/Kangra_District,"/wiki/Dharamsala,_Himachal_Pradesh",EMBEDDING_BERT,9

/wiki/Arabic_studies,/wiki/Philosophy,EMBEDDING_BERT,2

/wiki/Haryana,/wiki/Divisions_of_Haryana,EMBEDDING_BERT,13



"Aston, Wem Rural","https://en.wikipedia.org/wiki/Aston,_Wem_Rural",NTH_LINK(2),22

"Anna University Chennai – Regional Office, Tiruchirappalli","https://en.wikipedia.org/wiki/Anna_University_Chennai_%E2%80%93_Regional_Office,_Tiruchirappalli",NTH_LINK(2),17

Charlene Warren-Peu,https://en.wikipedia.org/wiki/Charlene_Warren-Peu,WORDNET,8

Charlene Warren-Peu,https://en.wikipedia.org/wiki/Charlene_Warren-Peu,NTH_LINK(2),16

Peter Brooks,https://en.wikipedia.org/wiki/Peter_Brooks,NTH_LINK(2),17

John Weld (politician),https://en.wikipedia.org/wiki/John_Weld_(politician),NTH_LINK(2),16

Sheepscot Pond,https://en.wikipedia.org/wiki/Sheepscot_Pond,WORDNET,10

Sheepscot Pond,https://en.wikipedia.org/wiki/Sheepscot_Pond,EMBEDDING_WORD2VEC,6

CDC classification system for HIV infection,https://en.wikipedia.org/wiki/CDC_classification_system_for_HIV_infection,NTH_LINK(2),39

Richard Harris (television writer),https://en.wikipedia.org/wiki/Richard_Harris_(television_writer),WORDNET,7

Richard Harris (television writer),https://en.wikipedia.org/wiki/Richard_Harris_(television_writer),NTH_LINK(2),30

Martin Hasse,https://en.wikipedia.org/wiki/Martin_Hasse,NTH_LINK(2),39

Michael Gash,https://en.wikipedia.org/wiki/Michael_Gash,NTH_LINK(2),22

Michael Gash,https://en.wikipedia.org/wiki/Michael_Gash,EMBEDDING_WORD2VEC,9

Women and Girls Foundation,https://en.wikipedia.org/wiki/Women_and_Girls_Foundation,NTH_LINK(2),34

"Archibald Primrose, 4th Earl of Rosebery","https://en.wikipedia.org/wiki/Archibald_Primrose,_4th_Earl_of_Rosebery",WORDNET,11

"Archibald Primrose, 4th Earl of Rosebery","https://en.wikipedia.org/wiki/Archibald_Primrose,_4th_Earl_of_Rosebery",NTH_LINK(2),43

Creation Museum,https://en.wikipedia.org/wiki/Creation_Museum,NTH_LINK(2),13

Creation Museum,https://en.wikipedia.org/wiki/Creation_Museum,EMBEDDING_WORD2VEC,11

Fuck It,https://en.wikipedia.org/wiki/Fuck_It,NTH_LINK(2),19

György Zala,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Zala,NTH_LINK(2),22

X Games Los Angeles 2013,https://en.wikipedia.org/wiki/X_Games_Los_Angeles_2013,NTH_LINK(2),40

Da Band,https://en.wikipedia.org/wiki/Da_Band,NTH_LINK(2),22

BTRC,https://en.wikipedia.org/wiki/BTRC,NTH_LINK(2),15

SS President Taylor,https://en.wikipedia.org/wiki/SS_President_Taylor,WORDNET,6

SS President Taylor,https://en.wikipedia.org/wiki/SS_President_Taylor,NTH_LINK(2),46

