start_article_title,starter_article_url,selection_strat,hops_to_phil
Curt VanderWall,https://en.wikipedia.org/wiki/Curt_VanderWall,NTH_LINK(1),23

Curt VanderWall,https://en.wikipedia.org/wiki/Curt_VanderWall,EMBEDDING_WORD2VEC,7

Barbara Craddock,https://en.wikipedia.org/wiki/Barbara_Craddock,WORDNET,12

Barbara Craddock,https://en.wikipedia.org/wiki/Barbara_Craddock,NTH_LINK(1),16

Barbara Craddock,https://en.wikipedia.org/wiki/Barbara_Craddock,EMBEDDING_WORD2VEC,10

Kim Yusob,https://en.wikipedia.org/wiki/Kim_Yusob,WORDNET,7

Kim Yusob,https://en.wikipedia.org/wiki/Kim_Yusob,NTH_LINK(1),17

Kim Yusob,https://en.wikipedia.org/wiki/Kim_Yusob,EMBEDDING_WORD2VEC,11

Enrique Octavio Trejo Azuara,https://en.wikipedia.org/wiki/Enrique_Octavio_Trejo_Azuara,WORDNET,8

Enrique Octavio Trejo Azuara,https://en.wikipedia.org/wiki/Enrique_Octavio_Trejo_Azuara,NTH_LINK(1),4

Enrique Octavio Trejo Azuara,https://en.wikipedia.org/wiki/Enrique_Octavio_Trejo_Azuara,EMBEDDING_WORD2VEC,7

Freiflug,https://en.wikipedia.org/wiki/Freiflug,WORDNET,10

Freiflug,https://en.wikipedia.org/wiki/Freiflug,NTH_LINK(1),14

Freiflug,https://en.wikipedia.org/wiki/Freiflug,EMBEDDING_WORD2VEC,10

1978 European Athletics Championships � Men's discus throw,https://en.wikipedia.org/wiki/1978_European_Athletics_Championships_%E2%80%93_Men%27s_discus_throw,WORDNET,10

1978 European Athletics Championships � Men's discus throw,https://en.wikipedia.org/wiki/1978_European_Athletics_Championships_%E2%80%93_Men%27s_discus_throw,NTH_LINK(1),19

1978 European Athletics Championships � Men's discus throw,https://en.wikipedia.org/wiki/1978_European_Athletics_Championships_%E2%80%93_Men%27s_discus_throw,EMBEDDING_WORD2VEC,6

Energia Group,https://en.wikipedia.org/wiki/Energia_Group,WORDNET,5

Energia Group,https://en.wikipedia.org/wiki/Energia_Group,NTH_LINK(1),17

Energia Group,https://en.wikipedia.org/wiki/Energia_Group,EMBEDDING_WORD2VEC,4

Klassische Philharmonie Bonn,https://en.wikipedia.org/wiki/Klassische_Philharmonie_Bonn,WORDNET,5

Klassische Philharmonie Bonn,https://en.wikipedia.org/wiki/Klassische_Philharmonie_Bonn,NTH_LINK(1),19

